filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
CantusMA1537 p.22.jpg,1050003,{},282,0,"{""name"":""rect"",""x"":117,""y"":132,""width"":16,""height"":20}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,1,"{""name"":""rect"",""x"":120,""y"":242,""width"":14,""height"":22}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,2,"{""name"":""rect"",""x"":121,""y"":353,""width"":16,""height"":22}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,3,"{""name"":""rect"",""x"":123,""y"":465,""width"":15,""height"":20}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,4,"{""name"":""rect"",""x"":194,""y"":599,""width"":17,""height"":22}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,5,"{""name"":""rect"",""x"":122,""y"":713,""width"":16,""height"":19}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,6,"{""name"":""rect"",""x"":121,""y"":824,""width"":18,""height"":20}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,7,"{""name"":""rect"",""x"":121,""y"":938,""width"":16,""height"":19}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,8,"{""name"":""rect"",""x"":124,""y"":1036,""width"":16,""height"":18}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,9,"{""name"":""rect"",""x"":123,""y"":1133,""width"":18,""height"":20}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,10,"{""name"":""rect"",""x"":416,""y"":1031,""width"":17,""height"":18}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,11,"{""name"":""rect"",""x"":542,""y"":918,""width"":17,""height"":20}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,12,"{""name"":""rect"",""x"":355,""y"":821,""width"":15,""height"":19}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,13,"{""name"":""rect"",""x"":645,""y"":346,""width"":14,""height"":21}","{""neume"":""clef.c""}"
CantusMA1537 p.22.jpg,1050003,{},282,14,"{""name"":""rect"",""x"":117,""y"":160,""width"":15,""height"":23}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,15,"{""name"":""rect"",""x"":118,""y"":269,""width"":17,""height"":26}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,16,"{""name"":""rect"",""x"":120,""y"":380,""width"":17,""height"":27}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,17,"{""name"":""rect"",""x"":123,""y"":490,""width"":15,""height"":27}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,18,"{""name"":""rect"",""x"":195,""y"":625,""width"":15,""height"":25}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,19,"{""name"":""rect"",""x"":121,""y"":739,""width"":16,""height"":26}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,20,"{""name"":""rect"",""x"":121,""y"":850,""width"":16,""height"":26}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,21,"{""name"":""rect"",""x"":121,""y"":964,""width"":16,""height"":28}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,22,"{""name"":""rect"",""x"":123,""y"":1061,""width"":16,""height"":25}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,23,"{""name"":""rect"",""x"":122,""y"":1160,""width"":16,""height"":27}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,24,"{""name"":""rect"",""x"":418,""y"":1058,""width"":15,""height"":26}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,25,"{""name"":""rect"",""x"":546,""y"":944,""width"":14,""height"":25}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,26,"{""name"":""rect"",""x"":357,""y"":846,""width"":13,""height"":25}","{""neume"":""clef.f""}"
CantusMA1537 p.22.jpg,1050003,{},282,27,"{""name"":""rect"",""x"":641,""y"":371,""width"":17,""height"":26}","{""neume"":""clef.f""}"
